Variedad;Productor;Fecha_cosecha;Sigla;Evaluacion;Color;Tratamiento;Repetici—n;N_Bayas;Peso;Calibre_Ecuatorial;Calibre_polar;Color pag y dato;L*;a*;b*;c;h;TSS;PH;Gasto;Acidez_titulable;Firmeza
SC;Palo Alto;21-Feb;T0 A R6;E00;A;0h;R6;3;10.02;24.58;26.01;;3.32;11.88;4.99;12.88543752;22.78404559;;;;;281.449
SC;Palo Alto;21-Feb;T0 A R6;E00;A;0h;R6;4;10.45;24.56;27.26;;34.04;13.94;4.40;14.61792051;17.5176997;;;;;243.051
SC;Palo Alto;21-Feb;T0 A R6;E00;A;0h;R6;5;11.64;25.17;28.43;;31.54;10.97;3.69;11.57397944;18.59149428;;;;;254.223
SC;Palo Alto;21-Feb;T0 A R6;E00;A;0h;R6;6;10.71;24.89;26.93;;32.66;11.47;4.20;12.21478203;20.11134754;;;;;257.8
SC;Palo Alto;21-Feb;T0 A R6;E00;A;0h;R6;7;9.93;24.89;24.78;;28.76;4.35;0.58;4.388496326;7.594643369;;;;;255.773
SC;Palo Alto;21-Feb;T0 A R6;E00;A;0h;R6;8;11.00;24.70;28.01;;33.26;11.54;1.70;11.66454457;8.380179338;;;;;256.066
SC;Palo Alto;21-Feb;T0 A R6;E00;A;0h;R6;9;11.23;24.82;29.14;;30.61;7.78;1.96;8.023091673;14.14016557;;;;;261.579
SC;Palo Alto;21-Feb;T0 A R6;E00;A;0h;R6;10;11.16;26.33;26.64;;3.69;5.99;1.55;6.187293431;14.50789544;;;;;262.501
SC;Palo Alto;21-Feb;T0 A R7;E00;A;0h;R7;1;7.77;22.05;24.64;771.00;30.07;6.92;0.89;6.976997922;7.328733818;18.80;3.53;6.35;0.95;259.532
SC;Palo Alto;21-Feb;T0 A R7;E00;A;0h;R7;2;10.42;25.06;26.22;;30.32;6.92;1.77;7.142779571;14.34752478;;;;;238.77
SC;Palo Alto;21-Feb;T0 A R7;E00;A;0h;R7;3;9.37;23.92;25.10;;32.69;10.60;3.90;11.29468902;20.19980662;;;;;231.525
SC;Palo Alto;21-Feb;T0 A R7;E00;A;0h;R7;4;8.45;23.06;25.32;;31.17;9.76;3.04;10.22248502;17.30052719;;;;;248.343
SC;Palo Alto;21-Feb;T0 A R7;E00;A;0h;R7;5;8.55;23.66;25.22;;31.16;8.30;2.07;8.55423287;14.00375366;;;;;244.568
